node_id,head,demand_x,longitude,latitude,elevation,demand_y,geometry,pressure
107112,0.0,0.0,-122.3521500856143,37.948138331110464,50.43,0.0,POINT (-122.3521500856143 37.94813833111046),-21.85719187608
107113,0.0,0.0,-122.35225275428301,37.94814934593986,50.27,0.0,POINT (-122.352252754283 37.94814934593986),-21.787845243120003
107186,0.0,0.0,-122.270235468407,37.80596893096392,34.74,0.0,POINT (-122.270235468407 37.80596893096392),-15.056887681440001
107220,0.0,0.0,-122.36483145074959,37.93404246790315,22.07,0.0,POINT (-122.3648314507496 37.93404246790315),-9.56550118392
107266,0.0,0.0,-122.35400484662337,37.929424134027975,24.27,0.0,POINT (-122.3540048466234 37.92942413402798),-10.51901738712
107389,0.0,0.0,-122.24915477162013,37.804806446310565,26.95,0.0,POINT (-122.2491547716201 37.80480644631056),-11.6805734892
107397,0.0,0.0,-122.33085076344291,37.927895137170786,51.36,0.0,POINT (-122.3308507634429 37.92789513717079),-22.26026918016
107405,0.0,0.0,-122.29108570303295,37.87659392775263,61.33,0.2909286335655578,POINT (-122.2910857030329 37.87659392775263),-26.58143124648
107412,0.0,0.0,-122.28988908773395,37.872931237129976,69.26,0.0,POINT (-122.289889087734 37.87293123712998),-30.018423742560003
107413,0.0,0.0,-122.28987801150257,37.8728296946073,69.63,0.0,POINT (-122.2898780115026 37.8728296946073),-30.178787831279998
107455,0.0,0.0,-122.28652872755434,37.868809836214645,83.13,0.0,POINT (-122.2865287275543 37.86880983621464),-36.02990998728
107456,0.0,0.0,-122.28656145046736,37.868801787409,83.13,0.0,POINT (-122.2865614504674 37.868801787409),-36.02990998728
107590,0.0,0.0,-122.28902885904523,37.811779860032146,17.64,0.0,POINT (-122.2890288590452 37.81177986003215),-7.64546628384
107608,0.0,0.0,-122.34174378840991,37.965199052139226,51.46,0.0,POINT (-122.3417437884099 37.96519905213923),-22.30361082576
107625,0.0,0.0,-122.34401690321428,37.91631112446276,7.74,0.0,POINT (-122.3440169032143 37.91631112446276),-3.35464336944
107747,0.0,0.0,-122.28986775350448,37.84126168151014,19.63,0.0,POINT (-122.2898677535045 37.84126168151014),-8.50796503128
107817,0.0,0.0,-122.354956294804,37.92948042264826,23.24,0.0,POINT (-122.354956294804 37.92948042264826),-10.07259843744
107818,0.0,0.0,-122.35496076957472,37.92948707266635,23.24,0.0,POINT (-122.3549607695747 37.92948707266635),-10.07259843744
107848,0.0,0.0,-122.25650408998614,37.79647619048257,32.27,0.0,POINT (-122.2565040899861 37.79647619048257),-13.986349035120002
107849,0.0,0.0,-122.25657456070624,37.79653899899631,32.6,0.0,POINT (-122.2565745607062 37.79653899899631),-14.129376465600002
107865,0.0,0.0,-122.26404072215998,37.79985689581002,30.77,0.0,POINT (-122.26404072216 37.79985689581002),-13.336224351119998
107866,0.0,0.0,-122.26481545976965,37.80016042161441,34.5,0.0,POINT (-122.2648154597697 37.80016042161441),-14.952867732000001
107871,0.0,0.0,-122.31443791456472,37.909169212982285,22.12,0.0,POINT (-122.3144379145647 37.90916921298228),-9.587172006720001
107888,0.0,0.0,-122.25737051464628,37.79440910413066,26.85,0.0,POINT (-122.2573705146463 37.79440910413066),-11.6372318436
108026,0.0,0.0,-122.3430076313114,37.93832141979333,59.18,0.0,POINT (-122.3430076313114 37.93832141979333),-25.649585866080002
108089,0.0,0.0,-122.29130507543816,37.880771212451855,70.43,0.0,POINT (-122.2913050754382 37.88077121245185),-30.525520996080004
108094,0.0,0.0,-122.2891610447108,37.84531723757996,24.67,0.0,POINT (-122.2891610447108 37.84531723757996),-10.69238396952
108174,0.0,0.0,-122.28160699681023,37.7850582319868,13.36,0.0,POINT (-122.2816069968102 37.7850582319868),-5.79044385216
108175,0.0,0.0,-122.28160479339589,37.785134356628106,13.85,0.0,POINT (-122.2816047933959 37.78513435662811),-6.0028179156
108256,0.0,0.0,-122.3169424992911,37.910801204888855,22.74,0.0,POINT (-122.3169424992911 37.91080120488886),-9.85589020944
108266,0.0,0.0,-122.25717879406321,37.798741864439975,15.93,0.0,POINT (-122.2571787940632 37.79874186443998),-6.90432414408
