OBJECTID,FAC_GN,FAC_NM,FAC_ADDR_T,STRCT_NU,PRSZ_CD,PRSZ_DESC_,PRSZ_HILL_,PRSZ_SRC_C,PRSZ_SRC_D,PLNG_PRSZ_,PLNG_PRSZ1,FUND_CD,FAC_SITE_G,FAC_ALT_CD,CITY_CD,CNTY_CD,ZIP_NU,FAC_DIRCTN,RTU_NM,OPS_LOOP_N,FAC_TYPE_N,FAC_TYPE_A,MAP_EAST_N,MAP_NORTH_,FAC_STAT_C,FAC_FAC_ST,FAC_FAC__1,FAC_PRINT_,FAC_FULL_P,FAC_LOC_TX,FAC_TEMP_F,FAC_STBY_F,FAC_STAFFE,WTR_TYPE_C,FAC_ABBRV_,MAINT_AREA,FAC_NAD83_,FAC_NAD831,STRCT_NM,geometry
190,47,Arcadian Reservoir,End of Brookdale,1907.0,C4A,Proctor,W,,,,,WSG,0.0,,CV,AL,,,UA60,457.0,DISTRIBUTION RESERVOIR,DRES,1539,446,IS,1996-07-30,,Arcadian Reservoir,Arcadian Reservoir (DRES),,N,N,N,P,Arcadian,2.0,6100937.0,2087947.0,Arcadian Reservoir,POINT (-122.0929644989295 37.71833828622571)
191,44,Almond Reservoir,Opposite 18083 Lamson Rd,941.0,C2A,Almond,W,,,,,WSG,0.0,,CV,AL,,,UA26,448.0,DISTRIBUTION RESERVOIR,DRES,1542,446,IS,1954-01-01,,Almond Reservoir,Almond Reservoir (DRES),,N,N,N,P,Almond,2.0,6104131.0,2086508.0,Almond Reservoir,POINT (-122.0818392740411 37.71453554642389)
193,134,Madison Reservoir,Opp 16872 Columbia Dr,999.0,C6B,Madison,W,,,,,WSG,0.0,,CV,AL,,,UA19,491.0,DISTRIBUTION RESERVOIR,DRES,1548,450,IS,1980-01-01,,Madison Reservoir,Madison Reservoir (DRES),,N,N,N,P,Madison,2.0,6110567.0,2091857.0,Madison Reservoir,POINT (-122.0599000296728 37.72951992922641)
195,213,Walpert Reservoir,N/S Star Ridge Rd 800' W/o Fairview Av,977.0,C6A,Walpert,W,,,,,WSG,0.0,,HAY,AL,,E,UA46,487.0,DISTRIBUTION RESERVOIR,DRES,1554,430,IS,1958-01-01,,Walpert Reservoir,Walpert Reservoir (DRES),,N,N,N,P,Walpert,2.0,6117578.0,2071603.0,Walpert Tank,POINT (-122.0345127510126 37.67422154362445)
196,165,Quarry Reservoir,24458 Fairview Av,944.0,C2B,Quarry,W,,,,,WSG,0.0,,HAY,AL,,E,UA10,454.0,DISTRIBUTION RESERVOIR,DRES,1551,432,IS,2002-08-09,,Quarry Reservoir,Quarry Reservoir (DRES),,N,N,N,P,Quarry,2.0,6113655.0,2072989.0,Quarry Reservoir,POINT (-122.0481451465058 37.67785014837173)
199,1049,Walpert North No. 2 Reservoir,E/o the end of Boulder Canyon Drive,700.0,C4C,Fairview,W,,,,,WSG,0.0,,CV,AL,,,UAA53,484.0,DISTRIBUTION RESERVOIR,DRES,1557,436,IS,1996-11-13,,Walpert North No. 2 Reservoir,Walpert North No. 2 Reservoir (DRES),Walpert North No. 1,N,N,N,P,Walpert North No. 2,2.0,6119220.0,2078107.0,Walpert North No 2 Reservoir,POINT (-122.0292068318269 37.69215502620653)
202,1932,Round Top Reservoir,"At Robert Selby Reserve - R/W off Skyline Blvd., east of Grizzly Peak Blvd.",2041.0,,,,,,,,WSG,0.0,,OAK,AL,,,,0.0,DISTRIBUTION RESERVOIR,DRES,1509,496,IS,2005-09-28,,Round Top Reservoir,Round Top Reservoir (DRES),,N,N,,P,,2.0,6072197.0,2136437.0,Round Top Reservoir,POINT (-122.1953474325998 37.85010118236831)
223,95,Dunsmuir Reservoir,N/o R/W at Covington St. (E/o MacArthur Fwy),1777.0,G0A,Central,W,,,,,WSG,0.0,,OAK,AL,,,UA49,447.0,DISTRIBUTION RESERVOIR,DRES,1524,456,TRS,2008-01-07,2008-02-08,Dunsmuir Reservoir,Dunsmuir Reservoir (DRES),,N,N,N,P,Dunsmuir,2.0,6086367.0,2096607.0,Dunsmuir Reservoir,POINT (-122.1438559425862 37.7414265450123)
228,163,Proctor No. 1 Reservoir,300' N/o End of Proctor Rd,917.0,C4A,Proctor,W,,,,,WSG,0.0,,CV,AL,,,UA16,464.0,DISTRIBUTION RESERVOIR,DRES,1545,448,TRS,2006-11-07,,Proctor No. 1 Reservoir,Proctor No. 1 Reservoir (DRES),,N,N,N,P,Proctor No. 1,2.0,6108092.0,2088850.0,Proctor No 1 Reservoir,POINT (-122.0682829351346 37.72114942414632)
234,35,Briones Reservoir,"On Bear Creek Rd., NE of San Pablo Dam Rd.",521.0,,,,,,,,WSG,0.0,,OR,CC,,,OAST01,548.0,SUPPLY RESERVOIR,SRES,1506,518,IS,1964-01-01,,Briones Reservoir,Briones Reservoir (SRES),,N,N,N,U,Briones Res,1.0,6068567.0,2159647.0,Briones Reservoir and Dam,POINT (-122.2093849900474 37.91365033353039)
