block_id,node id
7450,144063
7452,39893
7454,34544
7455,43655
7456,36241
7557,16569
7599,94594
7600,105857
7601,99966
7602,4275
7610,22534
7611,17978
7612,16478
7627,5148
7628,8200
7642,75231
7643,166009
7763,160609
7780,60504
7781,52920
7798,21061
7828,138590
7831,132961
7832,133983
7836,146024
7837,147468
7841,134185
7842,160363
7844,133369
7845,135886
7846,138632
7847,142635
7855,134907
7856,149949
7859,137349
7863,12158
7890,34280
7902,159468
7903,167676
7945,176513
8076,181207
8077,180945
8097,46461
8100,143992
8101,142623
8128,50274
8129,50764
8160,10953
8171,62738
8245,32433
8246,32434
8296,77219
8297,91431
8360,98199
8361,102278
8362,92094
8366,97500
8367,97726
8371,96842
8374,100829
8375,99086
8377,97932
8378,97932
8408,47519
8409,52084
8410,33408
8449,134934
8458,12188
8459,22034
8483,4077
8487,67759
8511,137072
8512,138617
8513,135112
8522,36769
8565,71090
8576,71796
8577,10184
8579,21841
8638,141248
8639,142043
8642,35776
8647,68259
8648,67436
8672,8167
8673,145077
8674,150884
8675,167956
8676,167222
8781,25099
8860,149404
8861,152475
8862,166001
8907,81092
8943,53165
8944,70635
8950,53165
8951,70875
8982,166755
8983,168553
8985,31633
8986,31673
9040,110525
9041,95221
9078,56242
9098,98790
9099,84783
9100,81344
9128,116937
9173,62195
9174,64461
9175,72274
9201,166948
9222,113618
9225,75013
9226,103825
9227,29603
9235,69887
9244,53600
9293,46389
9298,11680
9299,2685
9305,111101
9306,100140
9332,167567
9333,167794
9334,148488
9337,64094
9338,55527
9339,181190
9340,180926
9346,63953
9367,3511
9369,6738
9379,35670
9380,44575
9394,34706
9402,1037
9403,1663
9432,180940
9442,65907
9443,70796
9444,71401
9499,139033
9501,64173
9513,20076
9525,75192
9526,36879
9527,49328
9528,44119
9544,180617
9545,95073
9546,73125
9547,73125
9548,85971
9549,93300
9550,91327
9551,111845
9553,87767
9554,92677
9627,140585
9628,133904
9733,148906
9735,155514
9747,179039
9769,6174
9771,9028
9778,42646
9779,31268
9784,48613
9785,35107
9786,136683
9787,31279
9788,41910
9789,50458
9790,46153
9822,30494
9823,36789
9850,77638
9870,49003
9871,43047
9913,5942
10175,10270
10176,17951
10183,68394
10186,67226
10187,67225
10188,65840
10190,56102
10191,68012
10192,70394
10194,165536
10195,160812
10196,157108
10197,163096
10198,164927
10200,160899
10201,166727
10202,157425
10203,165186
10204,160899
10205,160914
10206,163388
10207,164927
10208,162666
10209,160275
10210,149049
10217,10670
10218,19342
10219,167038
10246,141985
10303,40039
10365,95349
10409,173883
10450,39080
10451,39002
10466,75650
10467,114700
10496,13083
10518,79304
10519,108302
10523,90690
10524,109545
10526,167467
10527,77901
10531,92904
10533,77592
10534,93866
10535,103239
10536,75536
10537,110935
10538,99147
10539,95281
10540,79840
10541,147356
10542,113820
10543,104731
10545,77820
10546,86210
10547,90761
10553,113586
10561,78269
10562,94660
10563,106436
10567,146544
10568,152575
10569,160805
10577,83921
10578,81760
10579,78638
10580,167468
10581,75464
10582,106328
10597,57040
10598,104718
10606,80733
10614,103307
10615,38564
10682,151546
10683,167390
10764,83186
10765,87777
10766,86157
10767,86840
10772,94657
10773,110688
10774,111728
10775,109200
10776,107840
10777,86396
10778,86396
10779,88604
10786,94575
10787,105890
10792,75409
10793,80026
10795,42872
10796,43155
10798,75409
10799,90968
10801,113489
10802,75140
10803,42990
10804,40723
10805,105258
10806,109754
10808,48347
10810,111924
10811,94813
10812,76046
10818,41143
10819,37449
10820,37449
10821,78870
10822,98415
10828,78203
10843,109171
10844,77008
10845,100283
10847,92278
10848,75514
10849,97143
10850,97143
10851,88512
10852,88512
10853,101865
10854,94456
10855,114317
10856,75259
10857,103064
10860,37957
10864,86305
10865,110723
10892,172335
10893,174179
10925,134545
10926,137198
10927,134768
10939,17175
10945,111678
10946,81626
10970,22475
10971,13219
10972,19820
10973,14253
10974,13723
10975,19978
10976,22085
