OBJECTID,FAC_GN,FAC_NM,FAC_ADDR_T,STRCT_NU,PRSZ_CD,PRSZ_DESC_,PRSZ_HILL_,PRSZ_SRC_C,PRSZ_SRC_D,PLNG_PRSZ_,PLNG_PRSZ1,FUND_CD,FAC_SITE_G,FAC_ALT_CD,CITY_CD,CNTY_CD,ZIP_NU,FAC_DIRCTN,RTU_NM,OPS_LOOP_N,FAC_TYPE_N,FAC_TYPE_A,MAP_EAST_N,MAP_NORTH_,FAC_STAT_C,FAC_FAC_ST,FAC_FAC__1,FAC_PRINT_,FAC_FULL_P,FAC_LOC_TX,FAC_TEMP_F,FAC_STBY_F,FAC_STAFFE,WTR_TYPE_C,FAC_ABBRV_,MAINT_AREA,FAC_NAD83_,FAC_NAD831,STRCT_NM,geometry
266,1581,Genoa No. 2 Rate Control Station,N/s adjacent to  844 59th St,31.0,G0A,Central,W,G1AA,Aqueduct,,,WSG,0.0,,OAK,AL,,,OA23,109.0,DISTRIBUTION FLOW CONTROL,DFC,1488,494,IS,2000-09-26,,Genoa No. 2 Rate Control Station RCS,Genoa No. 2 Rate Control Station (RCS),,N,N,,P,Genoa No. 2,2.0,6050054.0,2134644.0,Genoa No 2 RCS,POINT (-122.2719077806219 37.84405252240615)
298,469,Keller Regulator,13808 Campus Dr (900' W/o Fairhill Ct),1198.0,B5C,Keller Regulator,W,B7C,Campus Regulator,,,WSG,0.0,,OAK,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1521,468,IS,1990-01-01,,Keller Regulator REG,Keller Regulator (REG),,N,N,N,P,Keller,2.0,6084264.0,2108850.0,Keller Regulator,POINT (-122.1518747737272 37.77494302093066)
336,1686,Elysian Regulator,"In front of Drive to 300 Elysian Fields, Oakland",11.0,B4C,Elysian Fields Regulator,W,,,,,WSG,0.0,,OAK,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,0,0,SB,2000-01-01,,Elysian Regulator REG (SB),Elysian Regulator (REG) (SB),,N,N,,P,Elysian,2.0,0.0,0.0,Elysian Regulator,POINT (165.9984561648176 -90)
337,1669,29th Avenue Regulator,29th Avenue,1203.0,,,,,,,,WSG,0.0,,OAK,AL,,,OA57,32.0,DISTRIBUTION FLOW CONTROL,DFC,0,0,IS,2000-01-01,,29th Avenue Regulator REG,29th Avenue Regulator (REG),,N,N,,P,29th Avenue,2.0,0.0,0.0,29th Ave Flow Station,POINT (165.9984561648176 -90)
353,434,Berryman Regulator,1330 Euclid Ave 75' up path,49.0,A2A,Berryman,W,A5A,Summit,,,WSG,0.0,,BER,AL,,,SA46,184.0,DISTRIBUTION FLOW CONTROL,DFC,1491,508,IS,2004-07-28,,Berryman Regulator REG,Berryman Regulator (REG),,N,N,N,P,Berryman,2.0,6052992.0,2149072.0,Berryman Regulator,POINT (-122.2626752683152 37.88382095831685)
274,460,Girvin Regulator,N/s at 5937 Chelton Dr,1155.0,B9A,Forestland,W,B11B,Carisbrook,,,WSG,0.0,,OAK,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1509,486,IS,1990-01-01,,Girvin Regulator REG,Girvin Regulator (REG),,N,N,N,P,Girvin,2.0,6071567.0,2126977.0,Girvin Regulator,POINT (-122.1969354077228 37.82409419502419)
281,1910,Burdeck Regulator,3213 Burdeck Drive,2037.0,B5A,Dingee,W,B5A,Dingee,,,WSG,68.0,,OAK,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1509,480,IS,2005-09-27,,Burdeck Regulator REG,Burdeck Regulator (REG),,N,N,,P,Burdeck Regulator,2.0,6072699.0,2120873.0,Burdeck Regulator,POINT (-122.1926348035952 37.807389748385)
381,833,Highland Regulator,N/s Bonita Ave 200' East of Oakland Ave,1308.0,B2AA,Highland Regulator,W,B3A,Piedmont,,,WSG,0.0,,PIE,AL,,,UA66,383.0,DISTRIBUTION FLOW CONTROL,DFC,1497,486,IS,1996-01-04,,Highland Regulator REG,Highland Regulator (REG),,N,N,N,P,Highland,2.0,6060988.0,2127423.0,Highland No 2 Regulator,POINT (-122.2335850867277 37.82478686229128)
397,503,San Pablo Rate Control Station,300 Berkeley Park Blvd,501.0,G0A,Central,W,G1AA,Aqueduct,,,WSG,29.0,,KEN,CC,,,PP02,82.0,DISTRIBUTION FLOW CONTROL,DFC,1482,514,IS,2005-06-02,,San Pablo Rate Control Station RCS,San Pablo Rate Control Station (RCS),,N,N,N,P,San Pablo,2.0,6046221.0,2155679.0,San Pablo WTP,POINT (-122.286569315028 37.90160993144545)
418,446,Castle Regulator,N/s Castle Dr W/o Castle Ct,1126.0,B9AA,Castle Regulator,W,B13A,Skyline,,,WSG,0.0,,OAK,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1509,482,IS,1990-01-01,,Castle Regulator REG,Castle Regulator (REG),,N,N,N,P,Castle,2.0,6072727.0,2123652.0,Castle Regulator,POINT (-122.1927117602786 37.81502187503028)
420,463,Grand Regulator,W/s Grand Ave 100' N/0 Sunnyside Ave,52.0,G0A,Central,W,G1AA,Aqueduct,,,WSG,0.0,,PIE,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1494,484,SB,1990-01-01,,Grand Regulator REG (SB),Grand Regulator (REG) (SB),,N,N,N,P,Grand,2.0,6057949.0,2126138.0,Grand Regulator,POINT (-122.2440223587561 37.8211035569638)
403,726,Thornhill Regulator (former),Near 6865 Thornhill Dr 200' ne of Aspinwall Rd,0.0,B9A,Forestland,W,B11B,Carisbrook,,,WSG,0.0,,OAK,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1506,492,SB,1998-05-19,,Thornhill Regulator (former) REG (Temp) (SB),Thornhill Regulator (former) (REG) (Temp) (SB),,Y,N,N,P,Thornhill (former),2.0,6069467.0,2132707.0,,POINT (-122.2045660480723 37.83972316170106)
462,429,Aqueduct-Piedmont Throttling Valve,1509 Grand Ave,0.0,G1AA,Aqueduct,W,B3A,Piedmont,,,WSG,330.0,,OAK,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1494,486,IS,1990-01-01,,Aqueduct-Piedmont Throttling Valve TV,Aqueduct-Piedmont Throttling Valve (TV),,N,N,N,P,Aqueduct-Piedmont,2.0,6058047.0,2126897.0,,POINT (-122.243732051063 37.8231926471309)
500,448,Central Rate Control Station,N/s 29th St at 25th Ave.,1132.0,G0A,Central,W,G1AA,Aqueduct,,,WSG,0.0,,OAK,AL,,,OA22,104.0,DISTRIBUTION FLOW CONTROL,DFC,1500,476,TRS,2003-01-06,2003-02-03,Central Rate Control Station RCS,Central Rate Control Station (RCS),,N,N,N,P,Central,2.0,6063938.0,2116659.0,Central RC,POINT (-122.222687523955 37.7953801140942)
501,1952,Punchbowl Regulator,Crestmont Drive just east of Redwood Road,1186.0,B5B,Punch Bowl Regulator,W,B7A,Joaquin Miller,,,WSG,0.0,,OAK,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1515,476,IS,2004-11-24,,Punchbowl Regulator,Punchbowl Regulator (),,N,N,,P,Punchbowl Regulator,2.0,6077711.0,2116993.0,Punch Bowl Regulator,POINT (-122.1750483541139 37.79698320026245)
505,461,Golf Links Rd Rate Control Station,8521 Golf Links Rd (760' SE/o El Monte Av),1142.0,G1AA,Aqueduct,W,G1AA,Aqueduct,,,WSG,0.0,,OAK,AL,,,UA37,132.0,DISTRIBUTION FLOW CONTROL,DFC,1518,462,IS,1990-01-01,,Golf Links Rd Rate Control Station RCS,Golf Links Rd Rate Control Station (RCS),,N,N,N,P,Golf Links Rd,2.0,6082316.0,2103784.0,Golf Links Rd. RC,POINT (-122.1583033931769 37.76093777824015)
539,467,Hollis Rate Control Station,Hollis St (100' S/o Stanford Ave),1161.0,G0A,Central,W,G0A,Central,,,WSG,0.0,,EMY,AL,,,OA25,110.0,DISTRIBUTION FLOW CONTROL,DFC,1482,492,IS,1990-01-01,,Hollis Rate Control Station RCS,Hollis Rate Control Station (RCS),,N,N,N,P,Hollis,2.0,6045179.0,2132522.0,Hollis RC,POINT (-122.2886471658982 37.83797151386921)
545,1899,Crockett Regulator,550 Kendall Av,2031.0,A0B,C & H,W,A0A,Maloney,,,WSG,85.0,,CR,CC,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1500,570,IS,2006-04-04,,Crockett Regulator REG,Crockett Regulator (REG),,N,N,,P,Crockett Reg,1.0,6062717.0,2211147.0,Crockett Regulator,POINT (-122.2329642900334 38.05476072512562)
547,516,Valley View Regulator,Valley View Rd at San Pablo Dam Rd,1191.0,A2AA,Trilane,W,A2E,Argyle,,,WSG,0.0,,ELS,CC,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1485,536,IS,1990-01-01,,Valley View Regulator REG,Valley View Regulator (REG),,N,N,N,P,Valley View,1.0,6047783.0,2177054.0,Valley View Regulator,POINT (-122.282566751374 37.96038176455026)
549,441,Bryant Rate Control Station,Lafayette Res Access Rd,1301.0,D5A,Bryant,E,D5A,Bryant,,,WSG,39.0,,LAF,CC,,,OA60,574.0,DISTRIBUTION FLOW CONTROL,DFC,1527,508,IS,1990-01-01,,Bryant Rate Control Station RCS,Bryant Rate Control Station (RCS),,N,N,N,P,Bryant,1.0,6088587.0,2149627.0,Bryant RC,POINT (-122.1393893601222 37.88711995972265)
